Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung,stimme
20,113,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,113,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,113,1,Fraktionslos,Seidler,Stefan,,0,0,0,0,1,Stefan Seidler,,nichtabgegeben
20,113,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,113,2,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,113,2,Fraktionslos,Farle,Robert,,0,0,0,0,1,Robert Farle,,nichtabgegeben
20,113,2,Fraktionslos,Helferich,Matthias,,0,0,1,0,0,Matthias Helferich,,Enthaltung
20,113,2,Fraktionslos,Huber,Johannes,,0,0,0,0,1,Johannes Huber,,nichtabgegeben
20,113,2,Fraktionslos,Seidler,Stefan,,0,0,0,0,1,Stefan Seidler,,nichtabgegeben
20,113,2,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,113,3,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,113,3,Fraktionslos,Farle,Robert,,0,0,0,0,1,Robert Farle,,nichtabgegeben
20,113,3,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,113,3,Fraktionslos,Huber,Johannes,,0,0,1,0,0,Johannes Huber,,Enthaltung
20,113,3,Fraktionslos,Seidler,Stefan,,0,0,0,0,1,Stefan Seidler,,nichtabgegeben
20,113,3,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,113,4,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,113,4,Fraktionslos,Farle,Robert,,0,0,0,0,1,Robert Farle,,nichtabgegeben
20,113,4,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,113,4,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,113,4,Fraktionslos,Seidler,Stefan,,0,0,0,0,1,Stefan Seidler,,nichtabgegeben
20,113,4,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,115,1,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
